canon_id,Link Score,union_name,union_city,union_state
511506,0.14743982,afscme council 31 local 3464ts,springfield,il
544934,0.9999901,afscme council 31 local 3494,springfield,il
541694,0.999983,afscme council 31 local 3513,springfield,il
543020,0.9999846,afscme council 31 local 3534,springfield,il
544750,0.99976814,afscme council 31 local 4008,springfield,il
511506,0.9893978,afscme council 31 local 486,springfield,il
23065,6.674287e-06,afscme council 31 local 893,springfield,il
511506,0.15898351,afscme council 31 local 893a,springfield,il
545206,0.9416822,afscme council 31 local 919,springfield,il
511506,0.33807904,afscme council 31 local 9954,springfield,il
511506,0.33807904,afscme council 31 local 9960,springfield,il
,,afscme council 31-,,
23065,1.1621074e-06,afscme council 31-1232,homewood,il
23065,1.1652802e-06,afscme council 31-1232,springfield,il
23065,7.643036e-06,afscme council 31-1537,springfield,il
545440,0.99999994,afscme council 31-1827,chicago,il
544861,0.99999994,afscme council 31-1827,springfield,il
